ratA~~~ratB,;ratA;ratB,Outer membrane protein;hypothetical protein;Outer membrane protein RatA;Inverse autotransporter beta-barrel domain-containing protein;putative outer membrane protein,ONMMKP_04317,IKCLMC_01290,PKJKAM_02769,ODDLKH_03016,LNHIMF_02645;LNHIMF_02644,AJBGEP_02685;AJBGEP_02684,HFCAGB_02787,GEGEGB_00375;GEGEGB_00374;GEGEGB_00373;GEGEGB_00376,
group_4716,,hypothetical protein;Putative periplasmic protein,ONMMKP_01716,IKCLMC_02221,PKJKAM_03319,ODDLKH_00924,,AJBGEP_00458,HFCAGB_00462,GEGEGB_02549,BEJGEH_00446
group_4655,,hypothetical protein;Alkyl hydroperoxide reductase subunit F,ONMMKP_00503,IKCLMC_04646,PKJKAM_04652,ODDLKH_02027,LNHIMF_01598,AJBGEP_01629,,GEGEGB_01542;GEGEGB_01543,BEJGEH_01538
group_4651,,hypothetical protein;Sel1 repeat family protein;Putative periplasmic protein,ONMMKP_01717,IKCLMC_02220,PKJKAM_03320,ODDLKH_00923,,AJBGEP_00457,HFCAGB_00461,GEGEGB_02550;GEGEGB_02551;GEGEGB_02552,BEJGEH_00445
group_4644,,hypothetical protein;putative HTH-type transcriptional regulator STM3175,ONMMKP_03654,IKCLMC_03698;IKCLMC_03699,PKJKAM_01913,ODDLKH_03603,,AJBGEP_03343,HFCAGB_03399,GEGEGB_03250,BEJGEH_03192
group_4575,,hypothetical protein,ONMMKP_03955,,PKJKAM_02490,ODDLKH_03325,LNHIMF_02937,AJBGEP_03063,HFCAGB_03109,GEGEGB_02944,BEJGEH_02894
group_4525,,hypothetical protein;Choline-sulfatase,ONMMKP_02093,IKCLMC_03142;IKCLMC_03143,PKJKAM_02037,ODDLKH_00562,LNHIMF_00087,AJBGEP_00089,,GEGEGB_00091;GEGEGB_00090;GEGEGB_00089,BEJGEH_00088
group_4510,,Oxygen-insensitive NAD(P)H nitroreductase;hypothetical protein,ONMMKP_01577;ONMMKP_01576,IKCLMC_02418,PKJKAM_03123,ODDLKH_01065,,AJBGEP_00600,HFCAGB_00664,GEGEGB_02409,BEJGEH_00585
group_4485,,hypothetical protein,ONMMKP_01867,IKCLMC_02081,PKJKAM_03461,ODDLKH_00786,LNHIMF_00315,AJBGEP_00317,HFCAGB_00317,GEGEGB_02693,
group_4440,,hypothetical protein;Potassium channel domain-containing protein,ONMMKP_02413,IKCLMC_03458,PKJKAM_01166,ODDLKH_00243,,AJBGEP_04570,HFCAGB_04598,GEGEGB_04657,BEJGEH_04439
group_4398,,hypothetical protein,ONMMKP_01173,IKCLMC_01559,PKJKAM_00977,ODDLKH_01426,LNHIMF_01058,AJBGEP_00963,HFCAGB_01015,GEGEGB_02068,
