Genome	Length	GC	CodingDensity	CDS	Hypotheticals	PercentHypothetical	tRNA	rRNA	CRISPR
GCF_000007545.1	4791961	52.1	88.4	4618	486	10.52	80	22	1
GCF_000020745.1	4823887	52.2	88.7	4533	263	5.80	86	22	2
GCF_000020885.1	4836638	52.0	88.7	4496	270	6.01	86	22	2
GCF_000020925.1	4917459	52.1	88.6	4669	343	7.35	86	22	0
GCF_000022165.1	4964097	52.2	88.8	4639	256	5.52	88	22	2
GCF_000170215.1	4726474	52.3	88.9	4336	193	4.45	80	22	2
GCF_000171415.1	4948011	52.1	88.8	4711	334	7.09	65	2	6
GCF_000171515.1	4793325	52.3	88.9	4469	270	6.04	86	33	2
GCF_000171535.2	4876885	52.1	88.7	4579	269	5.87	86	22	2
