#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	3	791	-	PKJKAM_00001	29.5	5.5	PF01061.29|ABC2_membrane, PF12679.13|ABC2_membrane_2	PFAM:PF01061.29, PFAM:PF12679.13
contig_2	256	774	+	PKJKAM_00002	19.6	9.1		SO:0001217, UniRef:UniRef50_A0A376JUL7
contig_2	778	888	+	PKJKAM_00003	4.1	5.8		
contig_4	496	720	-	PKJKAM_00006	8.4	4.5		SO:0001217, UniRef:UniRef50_G5NAS5
contig_7	652	1131	+	PKJKAM_00010	18.7	6.8		
contig_12	937	1326	+	PKJKAM_00019	15.1	4.7		
contig_13	3	752	-	PKJKAM_00020	26.4	5.6		
contig_13	1141	1413	-	PKJKAM_00022	10.0	4.2		
contig_16	2	103	+	PKJKAM_00025	3.5	8.5		
contig_16	159	629	+	PKJKAM_00026	17.2	4.6		
contig_16	876	1220	-	PKJKAM_00027	12.8	6.1	PF02900.23|LigB	PFAM:PF02900.23
contig_18	1	111	-	PKJKAM_00030	3.7	8.0		
contig_18	255	779	-	PKJKAM_00031	19.6	4.1	PF17944.6|Arg_decarbox_C	PFAM:PF17944.6
contig_18	1198	1452	+	PKJKAM_00032	9.6	6.9		
contig_18	1449	1775	+	PKJKAM_00033	12.3	5.7	PF13692.12|Glyco_trans_1_4	PFAM:PF13692.12
contig_20	62	814	-	PKJKAM_00037	28.3	10.0		
contig_20	1713	1934	+	PKJKAM_00040	8.2	8.9	PF12835.12|Integrase_1	PFAM:PF12835.12
contig_21	3102	3284	+	PKJKAM_00046	7.0	10.8		
contig_22	4034	4309	-	PKJKAM_00051	10.0	8.9		
contig_25	3	1175	-	PKJKAM_00064	40.2	7.0	PF02302.22|PTS_IIB	PFAM:PF02302.22
contig_25	3328	3435	-	PKJKAM_00067	4.2	9.3		
contig_26	1	387	-	PKJKAM_00071	15.4	10.0	PF06303.17|MatP, PF17414.8|MatP_C	PFAM:PF06303.17, PFAM:PF17414.8
contig_26	12857	13174	-	PKJKAM_00081	11.3	9.7	PF01180.27|DHO_dh	PFAM:PF01180.27
contig_27	1	477	+	PKJKAM_00082	17.6	4.6		
contig_27	6636	7022	-	PKJKAM_00092	14.0	6.5	PF16925.10|TetR_C_13	PFAM:PF16925.10
contig_28	7610	7990	-	PKJKAM_00118	14.0	7.6		
contig_29	16197	16532	-	PKJKAM_00147	12.3	9.8		
contig_29	16504	17397	-	PKJKAM_00148	34.3	5.4	PF17767.7|NAPRTase_N	PFAM:PF17767.7
contig_29	19218	19457	-	PKJKAM_00151	8.7	10.4		
contig_30	3	308	+	PKJKAM_00154	10.8	9.3		
contig_30	13925	14185	-	PKJKAM_00165	9.6	4.5		
contig_30	21566	22219	-	PKJKAM_00176	23.2	9.8		
contig_31	3	647	+	PKJKAM_00179	23.4	9.4	PF07338.18|YdgH_BhsA-like	PFAM:PF07338.18
contig_31	21131	23338	+	PKJKAM_00197	78.7	8.9	PF00037.32|Fer4, PF01512.22|Complex1_51K, PF10531.15|SLBB, PF12797.12|Fer4_2, PF12838.12|Fer4_7, PF13183.11|Fer4_8, PF13237.11|Fer4_10, PF13375.12|RnfC_N, PF13534.11|Fer4_17	PFAM:PF00037.32, PFAM:PF01512.22, PFAM:PF10531.15, PFAM:PF12797.12, PFAM:PF12838.12, PFAM:PF13183.11, PFAM:PF13237.11, PFAM:PF13375.12, PFAM:PF13534.11
contig_31	32680	33342	-	PKJKAM_00208	23.5	5.7		
contig_33	2	238	-	PKJKAM_00239	8.8	8.7		
contig_33	3485	3691	+	PKJKAM_00241	7.7	5.0		
contig_33	4686	4967	+	PKJKAM_00242	11.1	4.6		
contig_33	9432	9674	-	PKJKAM_00247	8.6	9.6		
contig_33	39346	39606	-	PKJKAM_00286	10.0	5.2		
contig_33	40251	40517	-	PKJKAM_00288	9.9	5.1		SO:0001217, UniRef:UniRef50_A0A6D2GB82
contig_34	3	872	-	PKJKAM_00289	32.3	8.8		
contig_34	17020	17475	-	PKJKAM_00310	17.7	9.8	PF10263.15|SprT-like, PF17283.8|Zn_ribbon_SprT	PFAM:PF10263.15, PFAM:PF17283.8
contig_35	3	440	+	PKJKAM_00345	15.3	5.2		
contig_35	37171	38166	+	PKJKAM_00382	38.0	6.0	PF08238.18|Sel1	PFAM:PF08238.18
contig_35	52826	53218	+	PKJKAM_00397	14.0	6.6	PF00905.27|Transpeptidase	PFAM:PF00905.27
contig_35	59401	59727	+	PKJKAM_00404	12.2	9.4		
contig_36	1	354	-	PKJKAM_00405	12.8	6.3	PF00126.33|HTH_1	PFAM:PF00126.33
contig_36	3266	3808	+	PKJKAM_00410	20.1	8.5	PF03925.18|SeqA, PF17206.9|SeqA_N	PFAM:PF03925.18, PFAM:PF17206.9
contig_36	10032	10136	-	PKJKAM_00415	4.3	11.8		
contig_36	39362	39487	+	PKJKAM_00440	4.6	9.0		
contig_36	43654	43767	+	PKJKAM_00443	4.0	4.5		
contig_37	23932	24258	-	PKJKAM_00500	12.1	5.0	PF03860.21|DUF326	PFAM:PF03860.21
contig_37	31134	31448	+	PKJKAM_00507	10.6	8.8	PF13146.11|TRL	PFAM:PF13146.11
contig_37	32209	33252	-	PKJKAM_00509	39.0	5.9	PF13088.12|BNR_2	PFAM:PF13088.12
contig_37	34377	34550	+	PKJKAM_00511	6.5	11.0		
contig_37	41694	41900	+	PKJKAM_00522	8.1	9.5		SO:0001217, UniRef:UniRef50_A0A659M0N4
contig_37	92332	92586	-	PKJKAM_00571	9.2	10.4		
contig_38	1	513	-	PKJKAM_00572	19.4	8.5		
contig_38	41653	42108	-	PKJKAM_00615	15.3	5.0	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_38	47735	47860	-	PKJKAM_00625	4.5	6.5		
contig_38	55104	55292	+	PKJKAM_00633	7.1	5.8		
contig_38	66211	66849	-	PKJKAM_00643	23.7	8.8	PF00440.29|TetR_N, PF08362.16|TetR_C_3	PFAM:PF00440.29, PFAM:PF08362.16
contig_38	66986	67153	-	PKJKAM_00644	5.7	10.5		
contig_38	71445	72791	-	PKJKAM_00651	49.8	9.7	PF02683.22|DsbD_TM, PF11412.14|DsbD_N	PFAM:PF02683.22, PFAM:PF11412.14
contig_38	99833	100621	-	PKJKAM_00682	29.6	9.5	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
contig_38	110314	110472	+	PKJKAM_00693	5.8	6.1		SO:0001217, UniRef:UniRef50_A0A379XT47
contig_39	3	332	-	PKJKAM_00696	11.7	4.8	PF04613.19|LpxD	PFAM:PF04613.19
contig_39	60907	61968	+	PKJKAM_00752	37.8	4.8	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_39	84323	84424	+	PKJKAM_00774	3.8	4.7		
contig_39	114547	114675	-	PKJKAM_00801	4.9	10.9		
contig_40	2	1018	+	PKJKAM_00805	36.4	9.5		
contig_40	47331	47636	+	PKJKAM_00857	11.2	9.6	PF04728.18|LPP	PFAM:PF04728.18
contig_40	47717	47956	+	PKJKAM_00858	8.5	9.2	PF04728.18|LPP	PFAM:PF04728.18
contig_40	81772	81963	+	PKJKAM_00889	7.1	6.7		
contig_40	96379	97338	+	PKJKAM_00906	34.8	5.9		
contig_40	115984	116199	-	PKJKAM_00927	8.6	8.5		SO:0001217, UniRef:UniRef50_A0A4Z0P2U0
contig_41	3	287	-	PKJKAM_00954	10.2	9.9	PF04310.18|MukB, PF13555.12|AAA_29	PFAM:PF04310.18, PFAM:PF13555.12
contig_41	26726	26893	+	PKJKAM_00977	6.8	10.0		
contig_41	74414	74929	+	PKJKAM_01016	18.8	5.9	PF12883.13|DUF3828	PFAM:PF12883.13
contig_41	102308	102481	-	PKJKAM_01047	6.3	4.6	PF07995.17|GSDH	PFAM:PF07995.17
contig_41	106850	107041	-	PKJKAM_01052	7.4	5.1		
contig_41	128415	128852	+	PKJKAM_01071	16.2	6.9	PF08282.18|Hydrolase_3	PFAM:PF08282.18
contig_41	128724	128984	-	PKJKAM_01072	10.0	10.3		
contig_41	194193	195101	+	PKJKAM_01134	33.3	5.7		
contig_42	1	156	+	PKJKAM_01143	5.4	10.3	PF04225.17|LysM_OapA	PFAM:PF04225.17
contig_42	13741	14904	-	PKJKAM_01162	45.3	4.8	PF03738.19|GSP_synth	PFAM:PF03738.19
contig_42	28399	28707	-	PKJKAM_01177	11.1	7.0	PF17209.9|Hfq	PFAM:PF17209.9
contig_42	68996	69286	+	PKJKAM_01218	11.3	9.3		
contig_42	71255	71461	-	PKJKAM_01220	8.2	10.2		
contig_42	172208	172336	-	PKJKAM_01297	5.0	8.7		
contig_42	191182	191427	-	PKJKAM_01314	7.5	5.8		
contig_42	198286	199713	+	PKJKAM_01324	51.6	5.5	PF04984.19|Phage_sheath_1, PF17482.7|Phage_sheath_1C	PFAM:PF04984.19, PFAM:PF17482.7, SO:0001217, UniRef:UniRef50_U3U6A9
contig_42	207686	209233	+	PKJKAM_01333	58.2	9.3		SO:0001217, UniRef:UniRef50_A0A7H0MG07
contig_42	209747	210862	+	PKJKAM_01335	40.0	4.8		
contig_43	79634	79984	+	PKJKAM_01430	13.0	5.7	PF02311.25|AraC_binding, PF07883.17|Cupin_2, PF16867.11|DMSP_lyase	PFAM:PF02311.25, PFAM:PF07883.17, PFAM:PF16867.11
contig_43	106423	106737	+	PKJKAM_01457	12.4	5.6	PF05336.19|rhaM	PFAM:PF05336.19
contig_43	144982	145497	-	PKJKAM_01497	19.2	5.8		
contig_43	174503	175051	-	PKJKAM_01527	19.6	4.9		
contig_43	178618	180048	-	PKJKAM_01533	54.6	5.5		
contig_43	203972	204223	+	PKJKAM_01557	9.6	8.8		
contig_43	213445	213960	-	PKJKAM_01572	18.9	9.9	PF00324.27|AA_permease	PFAM:PF00324.27
contig_44	59743	60537	+	PKJKAM_01700	30.5	4.8	PF06877.16|RraB	PFAM:PF06877.16
contig_44	97154	97441	-	PKJKAM_01738	10.9	10.2	PF13693.12|HTH_35	PFAM:PF13693.12
contig_44	102869	103339	-	PKJKAM_01745	16.9	11.0		
contig_44	103432	103533	+	PKJKAM_01746	3.7	6.5		
contig_44	189488	190132	-	PKJKAM_01833	24.0	7.0	PF03551.20|PadR	PFAM:PF03551.20
contig_44	194456	194638	+	PKJKAM_01841	7.1	11.0		
contig_44	194643	195068	+	PKJKAM_01842	16.4	10.5		
contig_44	199482	199688	+	PKJKAM_01849	7.6	8.1		SO:0001217, UniRef:UniRef50_A0A4Q2R3F8
contig_44	284348	285991	+	PKJKAM_01937	58.9	5.5	PF00672.30|HAMP, PF02203.21|TarH	PFAM:PF00672.30, PFAM:PF02203.21
contig_44	306292	307170	+	PKJKAM_01956	33.1	5.9		
contig_44	325208	325906	+	PKJKAM_01976	26.9	9.1		SO:0001217, UniRef:UniRef50_A0AAN1A6P9
contig_44	329685	329840	+	PKJKAM_01979	5.9	7.9		
contig_44	330978	331094	-	PKJKAM_01983	4.2	10.2		
contig_44	331728	331805	+	PKJKAM_01984	3.0	4.1		
contig_45	2	187	-	PKJKAM_01985	6.6	4.8	PF00091.31|Tubulin	PFAM:PF00091.31
contig_45	49913	50323	+	PKJKAM_02028	15.1	6.6	PF09312.16|SurA_N, PF13623.11|SurA_N_2, PF13624.11|SurA_N_3	PFAM:PF09312.16, PFAM:PF13623.11, PFAM:PF13624.11
contig_45	50406	51203	+	PKJKAM_02029	29.0	6.4	PF00639.27|Rotamase, PF13145.12|Rotamase_2, PF13616.12|Rotamase_3	PFAM:PF00639.27, PFAM:PF13145.12, PFAM:PF13616.12
contig_45	61273	61695	-	PKJKAM_02039	15.7	9.0		
contig_45	74885	75280	-	PKJKAM_02053	15.4	9.4		
contig_45	80565	80852	+	PKJKAM_02056	10.6	5.2		
contig_45	125300	125818	-	PKJKAM_02096	17.7	4.3	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_45	138786	139319	+	PKJKAM_02106	19.9	5.5	PF05838.17|Glyco_hydro_108, PF09374.15|PG_binding_3	PFAM:PF05838.17, PFAM:PF09374.15
contig_45	140991	141131	+	PKJKAM_02109	5.3	10.7		
contig_45	144568	144972	+	PKJKAM_02113	14.5	9.1		
contig_45	169503	169610	-	PKJKAM_02137	4.2	5.4		SO:0001217, UniRef:UniRef50_A0A2X4TXI3
contig_45	193872	194459	+	PKJKAM_02159	21.4	7.8	PF04055.27|Radical_SAM	PFAM:PF04055.27
contig_45	202648	202884	-	PKJKAM_02172	8.4	9.8		
contig_45	210511	210972	+	PKJKAM_02182	15.9	8.7		
contig_45	237453	237617	-	PKJKAM_02203	6.8	10.5	PF06568.16|DUF1127	PFAM:PF06568.16
contig_45	250001	250447	-	PKJKAM_02214	16.7	9.4	PF05638.18|T6SS_HCP	PFAM:PF05638.18
contig_45	253532	254059	+	PKJKAM_02218	19.7	5.7	PF01738.24|DLH	PFAM:PF01738.24
contig_45	261363	261470	+	PKJKAM_02227	4.1	9.7		SO:0001217, UniRef:UniRef50_A0A0J1LPK6
contig_45	264683	264874	+	PKJKAM_02231	6.8	4.5		
contig_45	265331	266218	-	PKJKAM_02232	34.6	5.7		
contig_45	338168	338362	+	PKJKAM_02300	7.2	8.1		SO:0001217, UniRef:UniRef50_A0A5V6ND51
contig_45	341087	341401	+	PKJKAM_02303	12.1	8.7		SO:0001217, UniRef:UniRef50_A0A3U8EHJ2
contig_45	365737	366075	+	PKJKAM_02325	12.4	4.7	PF08525.16|OapA_N	PFAM:PF08525.16
contig_46	3	260	-	PKJKAM_02326	10.1	11.4		
contig_46	10783	10974	+	PKJKAM_02335	6.6	4.1		SO:0001217, UniRef:UniRef50_A0A659S1Q6
contig_46	22469	22675	-	PKJKAM_02350	7.4	4.7		
contig_46	81841	81963	+	PKJKAM_02406	4.7	10.6		
contig_46	177404	177544	+	PKJKAM_02490	5.1	10.9		
contig_46	201397	201657	+	PKJKAM_02517	10.1	9.3		
contig_46	234090	234899	+	PKJKAM_02554	30.1	9.5		
contig_46	279770	279928	+	PKJKAM_02606	6.0	11.0		
contig_46	370649	370711	+	PKJKAM_02679	2.5	8.1		
contig_47	3	917	+	PKJKAM_02680	33.5	6.5	PF08032.17|SpoU_sub_bind	PFAM:PF08032.17
contig_47	64959	65135	-	PKJKAM_02744	6.4	10.6		SO:0001217, UniRef:UniRef50_A0A4Z0LFH4
contig_47	67205	67429	+	PKJKAM_02748	8.7	11.3		
contig_47	112172	112438	-	PKJKAM_02776	10.2	10.6		
contig_47	112885	113076	-	PKJKAM_02777	7.4	11.9		
contig_47	138636	138836	-	PKJKAM_02799	8.1	8.0		
contig_47	173094	173792	+	PKJKAM_02831	26.0	4.8		SO:0001217, UniRef:UniRef50_A0A5X0DKG2
contig_47	206544	207569	+	PKJKAM_02873	39.0	9.8	PF05231.19|MASE1	PFAM:PF05231.19
contig_47	207612	208733	+	PKJKAM_02874	42.4	7.7	PF00563.25|EAL	PFAM:PF00563.25
contig_47	211633	211959	-	PKJKAM_02877	13.3	10.0		
contig_47	228164	228259	-	PKJKAM_02890	3.7	6.0		SO:0001217, UniRef:UniRef50_A0A3S4H9S7
contig_47	233269	233553	+	PKJKAM_02896	10.3	4.1		
contig_47	313407	313712	+	PKJKAM_02973	11.3	5.1	PF05957.18|DUF883	PFAM:PF05957.18
contig_47	336456	336632	+	PKJKAM_02996	6.7	5.6		
contig_47	358897	361743	+	PKJKAM_03014	106.3	5.8	PF00072.30|Response_reg, PF00512.31|HisKA, PF02518.31|HATPase_c, PF09456.16|RcsC	PFAM:PF00072.30, PFAM:PF00512.31, PFAM:PF02518.31, PFAM:PF09456.16
contig_47	377737	378186	+	PKJKAM_03030	16.4	6.9		
contig_47	387770	388234	+	PKJKAM_03044	16.0	4.7	PF03406.18|Phage_fiber_2	PFAM:PF03406.18
contig_47	396271	396555	-	PKJKAM_03052	10.5	9.5	PF01386.24|Ribosomal_L25p	PFAM:PF01386.24
contig_47	399315	400505	+	PKJKAM_03055	43.3	9.8		
contig_47	411739	411906	-	PKJKAM_03065	6.0	8.5	PF09285.17|Elong-fact-P_C	PFAM:PF09285.17
contig_48	1	276	+	PKJKAM_03066	10.2	6.6		
contig_48	56994	57362	+	PKJKAM_03122	14.2	8.6		
contig_48	76221	76550	+	PKJKAM_03139	12.2	10.9	PF02518.31|HATPase_c, PF14501.12|HATPase_c_5	PFAM:PF02518.31, PFAM:PF14501.12
contig_48	81846	83699	-	PKJKAM_03145	65.4	5.5	PF09008.15|Head_binding	PFAM:PF09008.15
contig_48	97031	97453	-	PKJKAM_03158	15.5	6.6		
contig_48	99189	99374	-	PKJKAM_03162	6.7	6.1		
contig_48	101522	101701	-	PKJKAM_03166	6.9	6.1		
contig_48	101682	101885	-	PKJKAM_03167	7.9	9.7		
contig_48	102707	102883	-	PKJKAM_03170	6.5	4.2		
contig_48	109878	110072	+	PKJKAM_03183	7.3	8.4		
contig_48	111479	111643	+	PKJKAM_03185	6.2	10.4		
contig_48	111777	111884	+	PKJKAM_03187	4.1	4.1		
contig_48	113056	113538	+	PKJKAM_03190	17.8	5.4		
contig_48	113881	114051	+	PKJKAM_03191	6.5	10.1		
contig_48	114048	114986	+	PKJKAM_03192	35.2	6.1	PF13392.12|HNH_3	PFAM:PF13392.12
contig_48	115224	115955	+	PKJKAM_03194	26.8	4.4		
contig_48	116568	117128	+	PKJKAM_03196	21.0	4.3		
contig_48	120353	120661	+	PKJKAM_03202	11.5	4.7		
contig_48	163229	163333	-	PKJKAM_03245	3.8	6.7		SO:0001217, UniRef:UniRef50_V1H4Y4
contig_48	178491	179228	-	PKJKAM_03262	27.5	5.6	PF00149.33|Metallophos	PFAM:PF00149.33
