#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_2	1	624	+	IKCLMC_00001	22.4	5.1	PF00672.30|HAMP	PFAM:PF00672.30
contig_3	3	230	+	IKCLMC_00002	8.2	4.5		
contig_3	214	624	+	IKCLMC_00003	14.3	7.9		
contig_4	380	622	-	IKCLMC_00006	9.0	9.4		
contig_5	1	588	+	IKCLMC_00007	21.5	10.0	PF13593.11|SBF_like	PFAM:PF13593.11
contig_6	2	112	+	IKCLMC_00008	3.9	5.4		
contig_7	51	305	+	IKCLMC_00009	9.3	10.3		SO:0001217, UniRef:UniRef50_A0A139DFB7
contig_9	574	648	-	IKCLMC_00013	2.9	9.2	PF06150.17|ChaB	PFAM:PF06150.17
contig_10	482	649	+	IKCLMC_00014	6.0	4.9		
contig_11	2	85	-	IKCLMC_00015	2.8	5.8		
contig_12	1	714	-	IKCLMC_00017	26.6	10.1		
contig_13	2	208	+	IKCLMC_00018	7.4	9.0		
contig_13	403	645	+	IKCLMC_00019	8.6	9.6		
contig_14	3	254	-	IKCLMC_00020	8.9	4.7		
contig_15	589	744	+	IKCLMC_00022	5.6	5.6		
contig_16	1	126	+	IKCLMC_00023	4.8	4.3		
contig_16	210	809	-	IKCLMC_00024	22.4	10.0		
contig_17	1	813	-	IKCLMC_00025	29.2	8.8		
contig_18	3	545	-	IKCLMC_00026	20.4	9.5	PF17785.7|PUA_3	PFAM:PF17785.7
contig_19	2	847	+	IKCLMC_00027	31.9	5.1	PF00773.24|RNB	PFAM:PF00773.24
contig_20	621	857	-	IKCLMC_00030	8.8	6.1		
contig_22	2	118	-	IKCLMC_00031	4.3	8.2		
contig_22	130	558	-	IKCLMC_00032	15.1	5.9		
contig_22	563	889	-	IKCLMC_00033	12.0	6.6		
