Accession	Contigs	Total_Length	N50	C	S	D	F	M	n
GCF_000007545.1	1	4791961	4791961	100.0	100.0	0.0	0.0	0.0	124
GCF_000020745.1	3	4823887	4709075	98.4	98.4	0.0	0.0	1.6	124
GCF_000020885.1	2	4836638	4798660	99.2	99.2	0.0	0.0	0.8	124
GCF_000020925.1	2	4917459	4842908	98.4	98.4	0.0	0.0	1.6	124
GCF_000022165.1	2	4964097	4870265	98.4	98.4	0.0	0.0	1.6	124
GCF_000170215.1	2	4726474	4719855	98.4	98.4	0.0	0.0	1.6	124
GCF_000170255.1	113	4895918	103713	69.4	69.4	0.0	5.6	25.0	124
GCF_000171255.1	19	4546142	471765	80.6	80.6	0.0	1.6	17.7	124
GCF_000171275.1	53	4696566	233156	67.7	67.7	0.0	7.3	25.0	124
GCF_000171315.1	48	4728232	308442	67.7	67.7	0.0	5.6	26.6	124
GCF_000171415.1	63	4948011	484233	98.4	98.4	0.0	1.6	0.0	124
GCF_000171515.1	50	4793325	370713	93.5	93.5	0.0	0.8	5.6	124
GCF_000171535.2	5	4876885	3027433	100.0	100.0	0.0	0.0	0.0	124
