Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1,GCF_000170215.1,GCF_000020745.1,GCF_000022165.1,GCF_000020925.1,GCF_000007545.1,GCF_000020885.1
gatY,gatY,D-tagatose-16-bisphosphate aldolase subunit GatY,9,9,1.0,1,6584,,,,855,855,855.0,ONMMKP_03576,IKCLMC_03618,PKJKAM_01793,ODDLKH_03683,LNHIMF_03298,AJBGEP_03423,HFCAGB_03477,GEGEGB_03335,BEJGEH_03273
group_4777,,Prophage bactoprenol-linked glucose translocase-like protein,9,9,1.0,1,6581,,,,363,363,363.0,ONMMKP_01589,IKCLMC_02407,PKJKAM_03141,ODDLKH_01047,LNHIMF_00709,AJBGEP_00582,HFCAGB_00644,GEGEGB_02421,8_refound_102
group_4759,,Arylsulfatase,9,9,1.0,1,6561,,,,1494,1494,1494.0,ONMMKP_02143,IKCLMC_03192,PKJKAM_02086,ODDLKH_00512,LNHIMF_00037,AJBGEP_00037,HFCAGB_00038,GEGEGB_00040,BEJGEH_00038
group_4758,,Putative arylsulfatase regulatory protein,9,9,1.0,1,6560,,,,1191,1197,1191.6666666666667,ONMMKP_02142,IKCLMC_03191,PKJKAM_02085,ODDLKH_00513,LNHIMF_00038,AJBGEP_00038,HFCAGB_00039,GEGEGB_00041,BEJGEH_00039
group_4745,,Mutator family transposase;hypothetical protein,9,13,1.4444444444444444,1,6545,,,,126,1209,626.7692307692307,ONMMKP_00176,IKCLMC_04320;IKCLMC_04319,PKJKAM_04323,ODDLKH_02347,LNHIMF_01927,AJBGEP_01953;AJBGEP_01952,HFCAGB_01415;HFCAGB_01414,GEGEGB_01079;GEGEGB_01078,BEJGEH_01197
group_4743,,Cytoplasmic protein,9,9,1.0,1,6541,,,,984,1257,1226.3333333333333,ONMMKP_02141,IKCLMC_03190,PKJKAM_02084,ODDLKH_00514,LNHIMF_00039,AJBGEP_00039,HFCAGB_00040,GEGEGB_00042,BEJGEH_00040
group_4730,,Outer membrane protein;hypothetical protein,9,10,1.1111111111111112,1,6526,,,,1692,6393,5087.1,ONMMKP_04316,IKCLMC_01289,PKJKAM_02768,ODDLKH_03017,LNHIMF_02646,AJBGEP_02686,HFCAGB_02788;HFCAGB_02789,GEGEGB_00372,BEJGEH_02542
sinI,sinI,SinI protein,9,9,1.0,1,6524,,,,960,972,963.6666666666666,ONMMKP_04315,IKCLMC_01288,PKJKAM_02767,ODDLKH_03018,LNHIMF_02647,AJBGEP_02687,HFCAGB_02790,GEGEGB_00371,BEJGEH_02543
group_4719,,Sulfoquinovosidase,9,9,1.0,1,6513,,,,2037,2037,2037.0,ONMMKP_02765,IKCLMC_00687,PKJKAM_01485,ODDLKH_04466,LNHIMF_04061,AJBGEP_04216,HFCAGB_04261,GEGEGB_03790,BEJGEH_04068
sinH,sinH;,intimin-like inverse autotransporter SinH;hypothetical protein,9,10,1.1111111111111112,1,6508,,,,252,2193,1967.7,ONMMKP_04314,IKCLMC_01287,PKJKAM_02766,ODDLKH_03019,LNHIMF_02648,AJBGEP_02688,HFCAGB_02791,GEGEGB_00370;GEGEGB_00369,BEJGEH_02544
group_4712,,Lipoprotein;hypothetical protein;DKNYY family protein,9,16,1.7777777777777777,1,6505,,,,93,2013,436.3125,ONMMKP_02837;ONMMKP_02838,IKCLMC_00522;IKCLMC_00521,PKJKAM_01557;PKJKAM_01558,ODDLKH_04389;ODDLKH_04388,LNHIMF_03986,AJBGEP_04138;AJBGEP_04139,HFCAGB_04183;HFCAGB_04184,GEGEGB_03528,BEJGEH_03991;BEJGEH_03990
group_4708,;dmsA,hypothetical protein;Anaerobic dimethyl sulfoxide reductase chain A;Dimethyl sulfoxide reductase subunit;Dimethylsulfoxide (DMSO) reductase A subunit DmsA,9,13,1.4444444444444444,1,6501,,,,132,2430,1656.0,ONMMKP_02477;ONMMKP_02478;ONMMKP_02479,IKCLMC_01139,PKJKAM_01230,ODDLKH_00166,LNHIMF_04383,AJBGEP_04505,HFCAGB_04536,GEGEGB_04439;GEGEGB_04441;GEGEGB_04440,BEJGEH_04364
shdA,;shdA,autotransporter outer membrane beta-barrel domain-containing protein;ESPR domain-containing protein;Fibronectin-binding autotransporter adhesin ShdA;Autotransporter domain-containing protein;Outer membrane autotransporter barrel domain protein;hypothetical protein;AIDA autotransporter-like protein,9,11,1.2222222222222223,1,6500,,,,771,6228,4686.0,ONMMKP_04318,IKCLMC_01291,PKJKAM_02770,ODDLKH_03015,LNHIMF_02643,AJBGEP_02683,HFCAGB_02785;HFCAGB_02786,GEGEGB_00377;GEGEGB_00378,BEJGEH_02541
group_4707,,Alkylhydroperoxidase,9,9,1.0,1,6499,,,,432,432,432.0,ONMMKP_04063,IKCLMC_04082,PKJKAM_02597,ODDLKH_03219,LNHIMF_02833,AJBGEP_02956,HFCAGB_03005,GEGEGB_02841,BEJGEH_02787
group_4705,,DUF3021 domain-containing protein,9,9,1.0,1,6497,,,,381,390,389.0,ONMMKP_02839,IKCLMC_00523,PKJKAM_01559,ODDLKH_04387,LNHIMF_03985,AJBGEP_04137,HFCAGB_04182,GEGEGB_03529,BEJGEH_03989
group_4703,,Inner membrane protein,9,9,1.0,1,6495,,,,165,165,165.0,ONMMKP_00181,IKCLMC_04331,PKJKAM_04334,ODDLKH_02342,LNHIMF_01921,AJBGEP_01947,HFCAGB_01420,GEGEGB_01085,BEJGEH_01211
group_4701,ydiV,Anti-FlhC(2)FlhD(4) factor YdiV,9,9,1.0,1,6493,,,,1575,1575,1575.0,ONMMKP_01814,IKCLMC_02125,PKJKAM_03414,ODDLKH_00829,LNHIMF_00371,AJBGEP_00363,HFCAGB_00363,GEGEGB_02648,BEJGEH_00352
group_4700,,Core-binding (CB) domain-containing protein;Integrase;hypothetical protein,9,11,1.2222222222222223,1,6492,,,,270,1080,640.6363636363636,ONMMKP_00160;ONMMKP_00159,IKCLMC_04304,PKJKAM_04305;PKJKAM_04306,ODDLKH_02360,LNHIMF_01942,AJBGEP_01966,HFCAGB_01344,GEGEGB_01070,BEJGEH_01195
yebB,yebB,Uncharacterized protein YebB,9,9,1.0,1,6491,,,,597,600,599.0,ONMMKP_00132,IKCLMC_04273,PKJKAM_04277,ODDLKH_02387,LNHIMF_01969,AJBGEP_01994,HFCAGB_01317,GEGEGB_01043,BEJGEH_01168
group_4699,,Lipopolysaccharide 16-galactosyltransferase,9,9,1.0,1,6490,,,,1080,1092,1090.6666666666667,ONMMKP_03110,IKCLMC_02682,PKJKAM_03654,ODDLKH_04165,LNHIMF_03753,AJBGEP_03905,HFCAGB_03962,GEGEGB_04008,BEJGEH_03758
group_4698,,Inverse autotransporter beta-domain domain-containing protein,9,9,1.0,1,6489,,,,1983,1983,1983.0,ONMMKP_00369,IKCLMC_04520,PKJKAM_04523,ODDLKH_02155,LNHIMF_01730,AJBGEP_01757,HFCAGB_01609,GEGEGB_01661,BEJGEH_01399
yfeK,yfeK;,Uncharacterized protein YfeK;hypothetical protein,9,9,1.0,1,6473,,,,360,363,361.6666666666667,ONMMKP_04393,IKCLMC_01365,PKJKAM_02844,ODDLKH_02942,LNHIMF_02571,AJBGEP_02608,HFCAGB_02708,GEGEGB_00455,BEJGEH_02463
sadA,sadA,trimeric autotransporter adhesin SadA;Autotransporter adhesin SadA,9,9,1.0,1,6472,,,,3351,4419,4230.0,ONMMKP_03140,IKCLMC_02712,PKJKAM_03684,ODDLKH_04135,LNHIMF_03726,AJBGEP_03875,HFCAGB_03931,GEGEGB_04039,BEJGEH_03728
ybdO,ybdO,Uncharacterized HTH-type transcriptional regulator YbdO,9,9,1.0,1,6464,,,,903,918,913.3333333333334,ONMMKP_01547,IKCLMC_02447,PKJKAM_03094,ODDLKH_01094,LNHIMF_00748,AJBGEP_00629,HFCAGB_00694,GEGEGB_02379,BEJGEH_00614
group_4674,,Phosphate propanoyltransferase,9,9,1.0,1,6462,,,,633,633,633.0,ONMMKP_04785,IKCLMC_01984,PKJKAM_04125,ODDLKH_02538,LNHIMF_02123,AJBGEP_02205,HFCAGB_02304,GEGEGB_00876,BEJGEH_02064
group_4671,,Putative sulfoquinovose importer,9,9,1.0,1,6459,,,,1383,1383,1383.0,ONMMKP_02766,IKCLMC_00686,PKJKAM_01486,ODDLKH_04465,LNHIMF_04060,AJBGEP_04215,HFCAGB_04260,GEGEGB_03791,BEJGEH_04067
group_4670,,ATP-binding cassette domain-containing protein,9,9,1.0,1,6458,,,,657,690,660.6666666666666,ONMMKP_03770,IKCLMC_03798,PKJKAM_00324,ODDLKH_03504,LNHIMF_03117,AJBGEP_03242,HFCAGB_03299,GEGEGB_03148,BEJGEH_03086
sopF,sopF,type III secretion system effector SopF,9,9,1.0,1,6455,,,,1125,1125,1125.0,ONMMKP_00894,IKCLMC_00983,PKJKAM_00523,ODDLKH_01711,LNHIMF_01280,AJBGEP_01314,HFCAGB_02055,GEGEGB_01175,BEJGEH_01853
