Gene,Non-unique Gene name,Annotation,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1,GCF_000170215.1,GCF_000020745.1,GCF_000022165.1,GCF_000020925.1,GCF_000007545.1,GCF_000020885.1
rfbM,;rfbM,mannose-1-phosphate guanylyltransferase;mannose-1-phosphate guanylyltransferase RfbM,,IKCLMC_01942,PKJKAM_04085,ODDLKH_02578,LNHIMF_02222,AJBGEP_02245,HFCAGB_02344,GEGEGB_00834,BEJGEH_02104
group_4747,,PBP domain-containing protein,ONMMKP_03310,IKCLMC_02881,PKJKAM_03852,ODDLKH_03968,LNHIMF_03567,AJBGEP_03706,HFCAGB_03761,,BEJGEH_03557
group_4739,,Phage protein,0_refound_10,IKCLMC_00221,2_refound_32,ODDLKH_01669,4_refound_50,AJBGEP_01016,HFCAGB_01068,GEGEGB_02008,
ratA~~~ratB,;ratA;ratB,Outer membrane protein;hypothetical protein;Outer membrane protein RatA;Inverse autotransporter beta-barrel domain-containing protein;putative outer membrane protein,ONMMKP_04317,IKCLMC_01290,PKJKAM_02769,ODDLKH_03016,LNHIMF_02645;LNHIMF_02644,AJBGEP_02685;AJBGEP_02684,HFCAGB_02787,GEGEGB_00375;GEGEGB_00374;GEGEGB_00373;GEGEGB_00376,
group_4716,,hypothetical protein;Putative periplasmic protein,ONMMKP_01716,IKCLMC_02221,PKJKAM_03319,ODDLKH_00924,,AJBGEP_00458,HFCAGB_00462,GEGEGB_02549,BEJGEH_00446
group_4685,,Zinc-regulated secreted antivirulence protein C-terminal domain-containing protein,ONMMKP_00370,IKCLMC_04521,PKJKAM_04524,ODDLKH_02154,,AJBGEP_01756,HFCAGB_01610,GEGEGB_01660,BEJGEH_01400
group_4655,,hypothetical protein;Alkyl hydroperoxide reductase subunit F,ONMMKP_00503,IKCLMC_04646,PKJKAM_04652,ODDLKH_02027,LNHIMF_01598,AJBGEP_01629,,GEGEGB_01542;GEGEGB_01543,BEJGEH_01538
group_4653,,Oxaloacetate decarboxylase;Oxaloacetate decarboxylase alpha subunit,ONMMKP_01386,IKCLMC_00076,PKJKAM_00468,ODDLKH_01259,,AJBGEP_00792,HFCAGB_00847,GEGEGB_00060,BEJGEH_00768
group_4651,,hypothetical protein;Sel1 repeat family protein;Putative periplasmic protein,ONMMKP_01717,IKCLMC_02220,PKJKAM_03320,ODDLKH_00923,,AJBGEP_00457,HFCAGB_00461,GEGEGB_02550;GEGEGB_02551;GEGEGB_02552,BEJGEH_00445
group_4648,,HTH lysR-type domain-containing protein,,IKCLMC_03197,PKJKAM_02091,ODDLKH_00507,LNHIMF_00032,AJBGEP_00032,HFCAGB_00033,GEGEGB_00035,BEJGEH_00033
group_4644,,hypothetical protein;putative HTH-type transcriptional regulator STM3175,ONMMKP_03654,IKCLMC_03698;IKCLMC_03699,PKJKAM_01913,ODDLKH_03603,,AJBGEP_03343,HFCAGB_03399,GEGEGB_03250,BEJGEH_03192
sseJ,sseJ,SPI-2 type III secretion system effector SseJ,ONMMKP_00410,IKCLMC_04561,PKJKAM_04564,ODDLKH_02115,LNHIMF_01688,AJBGEP_01717,HFCAGB_01651,,BEJGEH_01441
group_4621,,7-methyl-GTP pyrophosphatase,ONMMKP_00946,IKCLMC_00859,,ODDLKH_01593,LNHIMF_01222,AJBGEP_01189,HFCAGB_02107,GEGEGB_01827,BEJGEH_01905
group_4611,,Inner membrane protein,ONMMKP_01302,IKCLMC_01426,PKJKAM_01103,ODDLKH_01300,,AJBGEP_00836,HFCAGB_00888,GEGEGB_02187,BEJGEH_00809
group_4587,,DUF4427 domain-containing protein,ONMMKP_00251,IKCLMC_04401,PKJKAM_04404,ODDLKH_02273,LNHIMF_01853,AJBGEP_01876,,GEGEGB_01158,BEJGEH_01280
group_4580,,DUF1493 domain-containing protein,ONMMKP_04323,IKCLMC_01296,PKJKAM_02775,ODDLKH_03010,LNHIMF_02638,AJBGEP_02678,HFCAGB_02780,,BEJGEH_02534
group_4575,,hypothetical protein,ONMMKP_03955,,PKJKAM_02490,ODDLKH_03325,LNHIMF_02937,AJBGEP_03063,HFCAGB_03109,GEGEGB_02944,BEJGEH_02894
group_4527,,Phosphoenolpyruvate-dependent sugar phosphotransferase system EIIA 2 family protein,ONMMKP_03574,IKCLMC_03613,PKJKAM_01788,ODDLKH_03688,LNHIMF_03300,,HFCAGB_03479,GEGEGB_03341,BEJGEH_03275
group_4525,,hypothetical protein;Choline-sulfatase,ONMMKP_02093,IKCLMC_03142;IKCLMC_03143,PKJKAM_02037,ODDLKH_00562,LNHIMF_00087,AJBGEP_00089,,GEGEGB_00091;GEGEGB_00090;GEGEGB_00089,BEJGEH_00088
group_4510,,Oxygen-insensitive NAD(P)H nitroreductase;hypothetical protein,ONMMKP_01577;ONMMKP_01576,IKCLMC_02418,PKJKAM_03123,ODDLKH_01065,,AJBGEP_00600,HFCAGB_00664,GEGEGB_02409,BEJGEH_00585
group_4485,,hypothetical protein,ONMMKP_01867,IKCLMC_02081,PKJKAM_03461,ODDLKH_00786,LNHIMF_00315,AJBGEP_00317,HFCAGB_00317,GEGEGB_02693,
group_4466,msgA,Virulence protein MsgA,ONMMKP_04591,IKCLMC_01779,PKJKAM_03042,ODDLKH_02743,LNHIMF_02373,AJBGEP_02409,HFCAGB_02501,GEGEGB_00664,
group_4446,,Cytochrome c-type biogenesis protein,ONMMKP_04588,IKCLMC_01776,PKJKAM_03039,ODDLKH_02746,LNHIMF_02376,AJBGEP_02412,HFCAGB_02504,GEGEGB_00662,
group_4440,,hypothetical protein;Potassium channel domain-containing protein,ONMMKP_02413,IKCLMC_03458,PKJKAM_01166,ODDLKH_00243,,AJBGEP_04570,HFCAGB_04598,GEGEGB_04657,BEJGEH_04439
group_4432,,Fimbrial protein,ONMMKP_01993,IKCLMC_03044,PKJKAM_00757,ODDLKH_00658,LNHIMF_00182,AJBGEP_00186,HFCAGB_00185,,BEJGEH_00195
stiA,stiA;,Sti fimbria major subunit StiA;Fimbrial subunit,ONMMKP_01991,IKCLMC_03042,PKJKAM_00755,ODDLKH_00660,LNHIMF_00184,AJBGEP_00188,HFCAGB_00187,,BEJGEH_00197
group_4405,,Fimbriae,ONMMKP_01994,IKCLMC_03045,PKJKAM_00758,ODDLKH_00657,LNHIMF_00181,AJBGEP_00185,HFCAGB_00184,,BEJGEH_00194
group_4403,,DUF5066 domain-containing protein,ONMMKP_04295,IKCLMC_01268,PKJKAM_02747,ODDLKH_03038,,AJBGEP_02707,HFCAGB_02811,GEGEGB_00349,BEJGEH_02563
group_4398,,hypothetical protein,ONMMKP_01173,IKCLMC_01559,PKJKAM_00977,ODDLKH_01426,LNHIMF_01058,AJBGEP_00963,HFCAGB_01015,GEGEGB_02068,
gatZ,;gatZ,Putative tagatose 6-phosphate kinase;Tagatose-bisphosphate aldolase subunit GatZ;hypothetical protein,ONMMKP_03575,IKCLMC_03614,PKJKAM_01789,ODDLKH_03687,LNHIMF_03299,,HFCAGB_03478,GEGEGB_03339;GEGEGB_03340,BEJGEH_03274
group_4389,,hypothetical protein,ONMMKP_04296,IKCLMC_01269,PKJKAM_02748,ODDLKH_03037,,AJBGEP_02706,HFCAGB_02810,GEGEGB_00350,BEJGEH_02562
group_4369,,Type II toxin-antitoxin system RelE/ParE family toxin,ONMMKP_02750,IKCLMC_00702,PKJKAM_01470,ODDLKH_04480,LNHIMF_04075,AJBGEP_04230,HFCAGB_04275,,BEJGEH_04083
group_4367,,hypothetical protein;Cytoplasmic protein,ONMMKP_01492,IKCLMC_02502,PKJKAM_00376,ODDLKH_01151,,AJBGEP_00684,HFCAGB_00753,GEGEGB_02328,BEJGEH_00670
group_4349,,dTDP-4-dehydrorhamnose 35-epimerase,,IKCLMC_01929,PKJKAM_04072,ODDLKH_02588,LNHIMF_02236,AJBGEP_02255,HFCAGB_02355,GEGEGB_00823,BEJGEH_02114
group_4326,,HTH marR-type domain-containing protein,ONMMKP_00502,IKCLMC_04645,PKJKAM_04651,ODDLKH_02028,LNHIMF_01599,AJBGEP_01630,,GEGEGB_01544,BEJGEH_01537
araC~~~ydiP,araC;ydiP,AraC family transcriptional regulator;Uncharacterized HTH-type transcriptional regulator YdiP,ONMMKP_00696,IKCLMC_04841,PKJKAM_00880,ODDLKH_01831,LNHIMF_01402,AJBGEP_01434,HFCAGB_01927,,BEJGEH_01732
ydiM,ydiM,Inner membrane transport protein YdiM,ONMMKP_00690,IKCLMC_04835,PKJKAM_00874,ODDLKH_01837,LNHIMF_01408,AJBGEP_01440,HFCAGB_01921,,BEJGEH_01726
group_4285,,hypothetical protein,ONMMKP_03698,IKCLMC_03742,PKJKAM_01956,ODDLKH_03560,LNHIMF_03172,AJBGEP_03300;AJBGEP_03299,HFCAGB_03355,,BEJGEH_03143
group_4273,,Undecaprenyl-phosphate galactose phosphotransferase,,IKCLMC_01944,PKJKAM_04087,ODDLKH_02576,LNHIMF_02220,AJBGEP_02243,HFCAGB_02342,GEGEGB_00836,BEJGEH_02102
group_4259,,Inner membrane protein;Lipoprotein,ONMMKP_03311,IKCLMC_02882,PKJKAM_03853,ODDLKH_03967,LNHIMF_03565,AJBGEP_03705,HFCAGB_03760,,BEJGEH_03556
group_4255,,Integrase catalytic domain-containing protein,ONMMKP_04322,IKCLMC_01295,PKJKAM_02774,ODDLKH_03011,LNHIMF_02639,AJBGEP_02679,HFCAGB_02781,,BEJGEH_02535
group_4246,,OmpR/PhoB-type domain-containing protein;hypothetical protein,,IKCLMC_03196,PKJKAM_02090,ODDLKH_00508,LNHIMF_00033,AJBGEP_00033,HFCAGB_00034,GEGEGB_00036,BEJGEH_00034
group_4210,,Inner membrane protein,ONMMKP_02628,IKCLMC_00274,PKJKAM_00232,ODDLKH_00014,LNHIMF_04193,AJBGEP_04355,HFCAGB_04404,GEGEGB_03652,
pagO,;pagO,hypothetical protein;PhoPQ-activated DMT family transporter PagO,ONMMKP_00174,IKCLMC_04315,PKJKAM_04319,ODDLKH_02349,LNHIMF_01930;LNHIMF_01929,AJBGEP_01955,HFCAGB_01412;HFCAGB_01413,GEGEGB_01077,
group_4161,,hypothetical protein;DUF3053 domain-containing protein,ONMMKP_00948,IKCLMC_00857,PKJKAM_00572,ODDLKH_01591,LNHIMF_01220,AJBGEP_01187,HFCAGB_02110;HFCAGB_02109,,BEJGEH_01906
group_4156,,hypothetical protein,ONMMKP_00411,IKCLMC_04562,PKJKAM_04565,ODDLKH_02114,LNHIMF_01687,AJBGEP_01716,HFCAGB_01653;HFCAGB_01652,,BEJGEH_01442
nanX,;nanX,hypothetical protein;Sialic acid transporter NanX,ONMMKP_01004,IKCLMC_00655,PKJKAM_00629,ODDLKH_01535,LNHIMF_01164,AJBGEP_01131,HFCAGB_01180;HFCAGB_01181,GEGEGB_01885,
group_4111,,Disulfide bond formation protein B,ONMMKP_00172,IKCLMC_04313,PKJKAM_04317,ODDLKH_02351,LNHIMF_01932,AJBGEP_01957,HFCAGB_01410,GEGEGB_01075,
group_4088,,hypothetical protein,ONMMKP_02096,IKCLMC_03146,PKJKAM_02039,ODDLKH_00559,LNHIMF_00084,AJBGEP_00086,,GEGEGB_00086,BEJGEH_00085
group_4071,,HTH tetR-type domain-containing protein,ONMMKP_01574,IKCLMC_02420,PKJKAM_03121,ODDLKH_01067,,AJBGEP_00602,HFCAGB_00666,GEGEGB_02407,BEJGEH_00587
group_4054,,hypothetical protein;Diaminopropionate ammonia-lyase,ONMMKP_01142,IKCLMC_01590,PKJKAM_00145,ODDLKH_01457,,AJBGEP_00995,HFCAGB_01046,GEGEGB_02035;GEGEGB_02034,BEJGEH_00959
group_4053,,RelE/StbE replicon stabilization toxin,ONMMKP_02337,IKCLMC_03398,PKJKAM_02271,ODDLKH_00319,LNHIMF_04517,AJBGEP_04647,HFCAGB_04658,GEGEGB_04720,
group_4043,,hypothetical protein;RpiB/LacA/LacB family sugar-phosphate isomerase,ONMMKP_00095,IKCLMC_04237,PKJKAM_04241,ODDLKH_02423,LNHIMF_02005,AJBGEP_02030,HFCAGB_01281,,BEJGEH_01133
group_4021,,Membrane protein;Inner membrane protein;hypothetical protein,ONMMKP_01301,IKCLMC_01427,PKJKAM_01102,ODDLKH_01301,LNHIMF_00938,AJBGEP_00837,HFCAGB_00890;HFCAGB_00889,,BEJGEH_00810
siaT,;siaT,hypothetical protein;Sodium/sialic acid symporter SiaT,ONMMKP_01008,IKCLMC_00651,PKJKAM_00634,ODDLKH_01531,LNHIMF_01160,AJBGEP_01127,HFCAGB_01176,GEGEGB_01889;GEGEGB_01890,
group_3991,,hypothetical protein,0_refound_6_pseudo,IKCLMC_02338,PKJKAM_03202,3_refound_38_pseudo,,AJBGEP_00574,6_refound_70_pseudo,GEGEGB_02428,BEJGEH_00565
group_3976,,Membrane protein,,IKCLMC_03841,PKJKAM_02349,ODDLKH_03461,LNHIMF_03073,AJBGEP_03199,HFCAGB_03255,GEGEGB_03097,BEJGEH_03043
group_3961,,hypothetical protein;Ureidoglycolate lyase,ONMMKP_01636,IKCLMC_02302,PKJKAM_03238,ODDLKH_01004,,AJBGEP_00538,HFCAGB_00543,GEGEGB_02463;GEGEGB_02464,BEJGEH_00529
group_3958,,L-talarate permease;hypothetical protein;Major facilitator superfamily (MFS) profile domain-containing protein,ONMMKP_03132,IKCLMC_02704,PKJKAM_03676,ODDLKH_04143,,AJBGEP_03883,HFCAGB_03939,GEGEGB_04031;GEGEGB_04030,BEJGEH_03736
avrA,avrA,type III secretion system YopJ family effector AvrA,ONMMKP_04000,IKCLMC_04021,PKJKAM_02533,ODDLKH_03282,LNHIMF_02897,AJBGEP_03020,HFCAGB_03069,,BEJGEH_02851
ompD,;ompD,hypothetical protein;porin OmpD,ONMMKP_00473,IKCLMC_04620,PKJKAM_04623,ODDLKH_02056,LNHIMF_01631,AJBGEP_01658,HFCAGB_01711,,BEJGEH_01506
group_3938,,Glucose-1-phosphate thymidylyltransferase,,IKCLMC_01928,PKJKAM_04071,ODDLKH_02589,LNHIMF_02237,AJBGEP_02256,HFCAGB_02356,GEGEGB_00822,BEJGEH_02115
group_3897,,DUF3829 domain-containing protein,ONMMKP_02743,IKCLMC_00709,PKJKAM_01463,ODDLKH_04487,,AJBGEP_04237,HFCAGB_04282,GEGEGB_03769,BEJGEH_04090
group_3862,,hypothetical protein;Allantoin permease,ONMMKP_01630,IKCLMC_02308,PKJKAM_03232,ODDLKH_01010,,AJBGEP_00544,HFCAGB_00549,GEGEGB_02457;GEGEGB_02456,BEJGEH_00535
nanC,nanC,N-acetylneuraminic acid outer membrane channel protein NanC,ONMMKP_01005,IKCLMC_00654,PKJKAM_00630,ODDLKH_01534,LNHIMF_01163,AJBGEP_01130,HFCAGB_01179,GEGEGB_01886,
